task_id,complexity_vector,prompt_data,ground_truth,status,a,b,c,parse_error,max_op_level,illegal_ops,has_illegal_ops,under_complex,topo_mismatch,operator_count
MCM_000_2aca2cd0,"{'a': 0, 'b': 0, 'c': 0}","{'points': [{'x': -3.0, 'y': -27.0}, {'x': -2.75, 'y': -20.7969}, {'x': -2.5, 'y': -15.625}, {'x': -2.25, 'y': -11.3906}, {'x': -2.0, 'y': -8.0}, {'x': -1.75, 'y': -5.3594}, {'x': -1.5, 'y': -3.375}, {'x': -1.25, 'y': -1.9531}, {'x': -1.0, 'y': -1.0}, {'x': -0.75, 'y': -0.4219}, {'x': -0.5, 'y': -0.125}, {'x': -0.25, 'y': -0.0156}, {'x': 0.0, 'y': 0.0}, {'x': 0.25, 'y': 0.0156}, {'x': 0.5, 'y': 0.125}, {'x': 0.75, 'y': 0.4219}, {'x': 1.0, 'y': 1.0}, {'x': 1.25, 'y': 1.9531}, {'x': 1.5, 'y': 3.375}, {'x': 1.75, 'y': 5.3594}, {'x': 2.0, 'y': 8.0}, {'x': 2.25, 'y': 11.3906}, {'x': 2.5, 'y': 15.625}, {'x': 2.75, 'y': 20.7969}, {'x': 3.0, 'y': 27.0}]}","{'formula': 'x**3', 'latex': 'x^{3}', 'properties': {'singularities': [], 'is_periodic': False, 'domain': 'Reals'}}",success,0,0,0,False,0,[],False,False,False,1
MCM_000_65db4962,"{'a': 0, 'b': 0, 'c': 0}","{'points': [{'x': -3.0, 'y': 2.0}, {'x': -2.75, 'y': 2.25}, {'x': -2.5, 'y': 2.5}, {'x': -2.25, 'y': 2.75}, {'x': -2.0, 'y': 3.0}, {'x': -1.75, 'y': 3.25}, {'x': -1.5, 'y': 3.5}, {'x': -1.25, 'y': 3.75}, {'x': -1.0, 'y': 4.0}, {'x': -0.75, 'y': 4.25}, {'x': -0.5, 'y': 4.5}, {'x': -0.25, 'y': 4.75}, {'x': 0.0, 'y': 5.0}, {'x': 0.25, 'y': 5.25}, {'x': 0.5, 'y': 5.5}, {'x': 0.75, 'y': 5.75}, {'x': 1.0, 'y': 6.0}, {'x': 1.25, 'y': 6.25}, {'x': 1.5, 'y': 6.5}, {'x': 1.75, 'y': 6.75}, {'x': 2.0, 'y': 7.0}, {'x': 2.25, 'y': 7.25}, {'x': 2.5, 'y': 7.5}, {'x': 2.75, 'y': 7.75}, {'x': 3.0, 'y': 8.0}]}","{'formula': 'x + 5', 'latex': 'x + 5', 'properties': {'singularities': [], 'is_periodic': False, 'domain': 'Reals'}}",success,0,0,0,False,0,[],False,False,False,1
MCM_000_929d3afe,"{'a': 0, 'b': 0, 'c': 0}","{'points': [{'x': -3.0, 'y': -9.0}, {'x': -2.75, 'y': -8.25}, {'x': -2.5, 'y': -7.5}, {'x': -2.25, 'y': -6.75}, {'x': -2.0, 'y': -6.0}, {'x': -1.75, 'y': -5.25}, {'x': -1.5, 'y': -4.5}, {'x': -1.25, 'y': -3.75}, {'x': -1.0, 'y': -3.0}, {'x': -0.75, 'y': -2.25}, {'x': -0.5, 'y': -1.5}, {'x': -0.25, 'y': -0.75}, {'x': 0.0, 'y': 0.0}, {'x': 0.25, 'y': 0.75}, {'x': 0.5, 'y': 1.5}, {'x': 0.75, 'y': 2.25}, {'x': 1.0, 'y': 3.0}, {'x': 1.25, 'y': 3.75}, {'x': 1.5, 'y': 4.5}, {'x': 1.75, 'y': 5.25}, {'x': 2.0, 'y': 6.0}, {'x': 2.25, 'y': 6.75}, {'x': 2.5, 'y': 7.5}, {'x': 2.75, 'y': 8.25}, {'x': 3.0, 'y': 9.0}]}","{'formula': '3*x', 'latex': '3 x', 'properties': {'singularities': [], 'is_periodic': False, 'domain': 'Reals'}}",success,0,0,0,False,0,[],False,False,False,1
MCM_000_59a20e48,"{'a': 0, 'b': 0, 'c': 0}","{'points': [{'x': -3.0, 'y': 9.0}, {'x': -2.75, 'y': 7.5625}, {'x': -2.5, 'y': 6.25}, {'x': -2.25, 'y': 5.0625}, {'x': -2.0, 'y': 4.0}, {'x': -1.75, 'y': 3.0625}, {'x': -1.5, 'y': 2.25}, {'x': -1.25, 'y': 1.5625}, {'x': -1.0, 'y': 1.0}, {'x': -0.75, 'y': 0.5625}, {'x': -0.5, 'y': 0.25}, {'x': -0.25, 'y': 0.0625}, {'x': 0.0, 'y': 0.0}, {'x': 0.25, 'y': 0.0625}, {'x': 0.5, 'y': 0.25}, {'x': 0.75, 'y': 0.5625}, {'x': 1.0, 'y': 1.0}, {'x': 1.25, 'y': 1.5625}, {'x': 1.5, 'y': 2.25}, {'x': 1.75, 'y': 3.0625}, {'x': 2.0, 'y': 4.0}, {'x': 2.25, 'y': 5.0625}, {'x': 2.5, 'y': 6.25}, {'x': 2.75, 'y': 7.5625}, {'x': 3.0, 'y': 9.0}]}","{'formula': 'x**2', 'latex': 'x^{2}', 'properties': {'singularities': [], 'is_periodic': False, 'domain': 'Reals'}}",success,0,0,0,False,0,[],False,False,False,1
MCM_000_1df8f93e,"{'a': 0, 'b': 0, 'c': 0}","{'points': [{'x': -3.0, 'y': -2.0}, {'x': -2.75, 'y': -1.75}, {'x': -2.5, 'y': -1.5}, {'x': -2.25, 'y': -1.25}, {'x': -2.0, 'y': -1.0}, {'x': -1.75, 'y': -0.75}, {'x': -1.5, 'y': -0.5}, {'x': -1.25, 'y': -0.25}, {'x': -1.0, 'y': 0.0}, {'x': -0.75, 'y': 0.25}, {'x': -0.5, 'y': 0.5}, {'x': -0.25, 'y': 0.75}, {'x': 0.0, 'y': 1.0}, {'x': 0.25, 'y': 1.25}, {'x': 0.5, 'y': 1.5}, {'x': 0.75, 'y': 1.75}, {'x': 1.0, 'y': 2.0}, {'x': 1.25, 'y': 2.25}, {'x': 1.5, 'y': 2.5}, {'x': 1.75, 'y': 2.75}, {'x': 2.0, 'y': 3.0}, {'x': 2.25, 'y': 3.25}, {'x': 2.5, 'y': 3.5}, {'x': 2.75, 'y': 3.75}, {'x': 3.0, 'y': 4.0}]}","{'formula': 'x + 1', 'latex': 'x + 1', 'properties': {'singularities': [], 'is_periodic': False, 'domain': 'Reals'}}",success,0,0,0,False,0,[],False,False,False,1
MCM_001_097a31af,"{'a': 0, 'b': 0, 'c': 1}","{'points': [{'x': -3.0, 'y': 0.0}, {'x': -2.75, 'y': 0.25}, {'x': -2.5, 'y': 0.5}, {'x': -2.25, 'y': 0.75}, {'x': -2.0, 'y': 1.0}, {'x': -1.75, 'y': 1.25}, {'x': -1.5, 'y': 1.5}, {'x': -1.25, 'y': 1.75}, {'x': -1.0, 'y': 2.0}, {'x': -0.75, 'y': 2.25}, {'x': -0.5, 'y': 2.5}, {'x': -0.25, 'y': 2.75}, {'x': 0.0, 'y': 3.0}, {'x': 0.25, 'y': 3.25}, {'x': 0.5, 'y': 3.5}, {'x': 0.75, 'y': 3.75}, {'x': 1.0, 'y': 4.0}, {'x': 1.25, 'y': 4.25}, {'x': 1.5, 'y': 4.5}, {'x': 1.75, 'y': 4.75}, {'x': 2.0, 'y': 5.0}, {'x': 2.25, 'y': 5.25}, {'x': 2.5, 'y': 5.5}, {'x': 2.75, 'y': 5.75}, {'x': 3.0, 'y': 6.0}]}","{'formula': 'x + 3', 'latex': 'x + 3', 'properties': {'singularities': [], 'is_periodic': False, 'domain': 'Reals'}}",success,0,0,1,False,0,[],False,False,False,1
MCM_001_b173ac10,"{'a': 0, 'b': 0, 'c': 1}","{'points': [{'x': -3.0, 'y': -6.0}, {'x': -2.75, 'y': -5.5}, {'x': -2.5, 'y': -5.0}, {'x': -2.25, 'y': -4.5}, {'x': -2.0, 'y': -4.0}, {'x': -1.75, 'y': -3.5}, {'x': -1.5, 'y': -3.0}, {'x': -1.25, 'y': -2.5}, {'x': -1.0, 'y': -2.0}, {'x': -0.75, 'y': -1.5}, {'x': -0.5, 'y': -1.0}, {'x': -0.25, 'y': -0.5}, {'x': 0.0, 'y': 0.0}, {'x': 0.25, 'y': 0.5}, {'x': 0.5, 'y': 1.0}, {'x': 0.75, 'y': 1.5}, {'x': 1.0, 'y': 2.0}, {'x': 1.25, 'y': 2.5}, {'x': 1.5, 'y': 3.0}, {'x': 1.75, 'y': 3.5}, {'x': 2.0, 'y': 4.0}, {'x': 2.25, 'y': 4.5}, {'x': 2.5, 'y': 5.0}, {'x': 2.75, 'y': 5.5}, {'x': 3.0, 'y': 6.0}]}","{'formula': '2*x', 'latex': '2 x', 'properties': {'singularities': [], 'is_periodic': False, 'domain': 'Reals'}}",success,0,0,1,False,0,[],False,False,False,1
MCM_003_10e201ae,"{'a': 0, 'b': 0, 'c': 3}","{'points': [{'x': -3.0, 'y': -1.0}, {'x': -2.75, 'y': -0.75}, {'x': -2.5, 'y': -0.5}, {'x': -2.25, 'y': -0.25}, {'x': -2.0, 'y': 0.0}, {'x': -1.75, 'y': 0.25}, {'x': -1.5, 'y': 0.5}, {'x': -1.25, 'y': 0.75}, {'x': -1.0, 'y': 1.0}, {'x': -0.75, 'y': 1.25}, {'x': -0.5, 'y': 1.5}, {'x': -0.25, 'y': 1.75}, {'x': 0.0, 'y': 2.0}, {'x': 0.25, 'y': 2.25}, {'x': 0.5, 'y': 2.5}, {'x': 0.75, 'y': 2.75}, {'x': 1.0, 'y': 3.0}, {'x': 1.25, 'y': 3.25}, {'x': 1.5, 'y': 3.5}, {'x': 1.75, 'y': 3.75}, {'x': 2.0, 'y': 4.0}, {'x': 2.25, 'y': 4.25}, {'x': 2.5, 'y': 4.5}, {'x': 2.75, 'y': 4.75}, {'x': 3.0, 'y': 5.0}]}","{'formula': 'x + 2', 'latex': 'x + 2', 'properties': {'singularities': [], 'is_periodic': False, 'domain': 'Reals'}}",success,0,0,3,False,0,[],False,False,False,1
MCM_003_1ad459f7,"{'a': 0, 'b': 0, 'c': 3}","{'points': [{'x': -3.0, 'y': -15.0}, {'x': -2.75, 'y': -13.75}, {'x': -2.5, 'y': -12.5}, {'x': -2.25, 'y': -11.25}, {'x': -2.0, 'y': -10.0}, {'x': -1.75, 'y': -8.75}, {'x': -1.5, 'y': -7.5}, {'x': -1.25, 'y': -6.25}, {'x': -1.0, 'y': -5.0}, {'x': -0.75, 'y': -3.75}, {'x': -0.5, 'y': -2.5}, {'x': -0.25, 'y': -1.25}, {'x': 0.0, 'y': 0.0}, {'x': 0.25, 'y': 1.25}, {'x': 0.5, 'y': 2.5}, {'x': 0.75, 'y': 3.75}, {'x': 1.0, 'y': 5.0}, {'x': 1.25, 'y': 6.25}, {'x': 1.5, 'y': 7.5}, {'x': 1.75, 'y': 8.75}, {'x': 2.0, 'y': 10.0}, {'x': 2.25, 'y': 11.25}, {'x': 2.5, 'y': 12.5}, {'x': 2.75, 'y': 13.75}, {'x': 3.0, 'y': 15.0}]}","{'formula': '5*x', 'latex': '5 x', 'properties': {'singularities': [], 'is_periodic': False, 'domain': 'Reals'}}",success,0,0,3,False,0,[],False,False,False,1
MCM_010_b212d3d0,"{'a': 0, 'b': 1, 'c': 0}","{'points': [{'x': -3.0, 'y': -3.0}, {'x': -2.75, 'y': -2.75}, {'x': -2.5, 'y': -2.5}, {'x': -2.25, 'y': -2.25}, {'x': -2.0, 'y': -2.0}, {'x': -1.75, 'y': -1.75}, {'x': -1.5, 'y': -1.5}, {'x': -1.25, 'y': -1.25}, {'x': -1.0, 'y': -1.0}, {'x': -0.75, 'y': -0.75}, {'x': -0.5, 'y': -0.5}, {'x': -0.25, 'y': -0.25}, {'x': 0.0, 'y': 0.0}, {'x': 0.25, 'y': 0.25}, {'x': 0.5, 'y': 0.5}, {'x': 0.75, 'y': 0.75}, {'x': 1.0, 'y': 1.0}, {'x': 1.25, 'y': 1.25}, {'x': 1.5, 'y': 1.5}, {'x': 1.75, 'y': 1.75}, {'x': 2.0, 'y': 2.0}, {'x': 2.25, 'y': 2.25}, {'x': 2.5, 'y': 2.5}, {'x': 2.75, 'y': 2.75}, {'x': 3.0, 'y': 3.0}]}","{'formula': 'x', 'latex': 'x', 'properties': {'singularities': [], 'is_periodic': False, 'domain': 'Reals'}}",success,0,1,0,False,0,[],False,True,False,0
